city,state,publish_date,url,title,category,population,lat,lng
Albertville,AL,03-17-2020 00:00,https://www.gadsdentimes.com/news/20200317/albertville-declares-coronavirus-emergency,Albertville declares coronavirus emergency,state_of_emergency,37220.0,34.2634,-86.2107
Birmingham,AL,03-24-2020 18:08,https://www.al.com/news/2020/03/woodfin-proposes-shelter-in-place-for-birmingham-including-curfews.html,Shelter-in-place order enacted in Birmingham to stop coronavirus spread,shelter_in_place,744189.0,33.5277,-86.7987
Boaz,AL,03-24-2020 00:00,https://www.gadsdentimes.com/news/20200324/boaz-declares-state-of-emergency-over-virus,Boaz declares state of emergency over virus,state_of_emergency,9652.0,34.1985,-86.1529
Carolina,AL,03-27-2020 00:00,https://www.cnbc.com/2020/03/27/north-carolina-gov-roy-cooper-orders-residents-to-stay-at-home-order-amid-coronavirus-outbreak.html,North Carolina Gov. Roy Cooper orders residents to stay at home order amid coronavirus outbreak,shelter_in_place,295.0,31.2337,-86.5227
Clanton,AL,03-17-2020 00:00,https://www.clantonadvertiser.com/2020/03/17/jemison-council-approves-covid-19-response-measures/,Jemison Council approves COVID-19 response measures - The Clanton Advertiser,None,5876.0,32.8439,-86.62299999999999
Daphne,AL,,https://www.fox10tv.com/news/coronavirus/daphne-declares-state-of-emergency-during-coronavirus-outbreak/article_4efd206a-685c-11ea-b694-f7b3c8675f7e.html,Daphne declares state of emergency during coronavirus outbreak,state_of_emergency,69065.0,30.6286,-87.8866
Daphne,AL,03-17-2020 14:27,https://www.wkrg.com/health/coronavirus/daphne-declares-state-of-emergency-for-coronavirus/,Daphne declares state of emergency for coronavirus,state_of_emergency,69065.0,30.6286,-87.8866
Egypt,AL,03-24-2020 21:33,https://www.reuters.com/article/us-health-coronavirus-egypt/egypt-declares-two-week-curfew-to-counter-coronavirus-idUSKBN21B1MR,Egypt declares two-week curfew to counter coronavirus,lockdown,810.0,34.0759,-86.1651
Fairhope,AL,,https://www.fox10tv.com/news/coronavirus/fairhope-mayor-to-recommend-canceling-arts-and-crafts-over-coronavirus/article_9035e0ae-6478-11ea-9b6e-73f82906e5e9.html,Fairhope mayor to recommend canceling Arts and Crafts over coronavirus.,None,20935.0,30.522,-87.8816
Jemison,AL,03-17-2020 00:00,https://www.clantonadvertiser.com/2020/03/17/jemison-council-approves-covid-19-response-measures/,Jemison Council approves COVID-19 response measures - The Clanton Advertiser,None,2627.0,32.9696,-86.7339
Kennedy,AL,03-28-2020 00:00,https://www.timescall.com/2020/03/28/cus-kennedy-higher-ed-leaders-seek-emergency-funds-amid-coronavirus-outbreak/,"CU’s Kennedy, higher ed leaders seek emergency funds amid coronavirus outbreak",None,428.0,33.5809,-87.9862
Oxford,AL,,https://www.annistonstar.com/news/coronavirus/oxford-council-declares-local-emergency-over-covid/article_8a9e8ef4-6859-11ea-90a8-9bf7ab52c3c0.html,Oxford council declares local emergency over COVID-19,state_of_emergency,21180.0,33.5966,-85.869
Pelham,AL,03-19-2020 00:00,https://www.shelbycountyreporter.com/2020/03/19/pelham-declares-state-of-emergency-to-combat-covid-19/,Pelham declares State of Emergency to combat COVID-19 - Shelby County Reporter,state_of_emergency,23493.0,33.3114,-86.7573
Providence,AL,,https://www.tapinto.net/towns/new-providence/sections/health-and-wellness/articles/no-new-covid-19-cases-reported-in-new-providence-borough-urges-residents-to-abide-by-safety-protocols,No New COVID-19 Cases Reported in New Providence; Borough Urges Residents to Abide by Safety Protocols,None,204.0,32.3424,-87.7761
Rosa,AL,03-05-2020 23:24,https://www.pressdemocrat.com/news/10788596-181/sutter-santa-rosa-orders-coronavirus,"Sutter Santa Rosa orders coronavirus quarantine for at least 30 hospital workers, union says",quarantine,319.0,33.9885,-86.5037
Tuscaloosa,AL,03-17-2020 00:00,https://www.wbrc.com/2020/03/17/tuscaloosa-county-commissioners-declare-state-emergency-over-coronavirus/,Tuscaloosa County Commissioners declare state of emergency over coronavirus,state_of_emergency,154204.0,33.2348,-87.5266
Ambler,AK,03-28-2020 00:00,https://www.adn.com/politics/2020/03/28/amid-criticism-and-the-coronavirus-pandemic-alaska-investment-board-approves-35-million-for-ambler-road/,"Amid criticism and the coronavirus pandemic, Alaska investment board approves $35 million for Ambler Road",None,263.0,67.0897,-157.8725
