state,county,publish_date,url,title,category,population
Alabama,Autauga,43908.0,https://www.montgomeryadvertiser.com/story/news/crime/2020/03/18/county-jail-inmates-ordered-released-autauga-elmore-chilton-counties/2871087001/,"Coronavirus: County jail inmates ordered released in Autauga, Elmore, Chilton counties",None,55246.0
Alabama,Baldwin,43905.07778,https://www.wkrg.com/health/coronavirus/baldwin-county-commission-emergency-special-meeting/,Baldwin County Commission declares local state of emergency,state_of_emergency,195540.0
Alabama,Coffee,,https://www.dothaneagle.com/enterprise_ledger/news/coffee-county-board-of-education-approves---school-calendar/article_50bca2a6-ef8c-5a26-ba0a-86494ae99e7a.html,Coffee County Board of Education approves 2020-21 school calendar,None,50938.0
Alabama,Coosa,43844.07361,https://www.cbs42.com/news/local/talladega-co-commission-approves-coosa-river-toll-bridge-project/,Talladega Co. Commission approves Coosa River toll bridge project,None,10898.0
Alabama,Escambia,43910.0,https://www.pnj.com/story/news/2020/03/20/coronavirus-pensacola-beach-perdido-key-beach-close-until-april-2/2884475001/,"Coronavirus: Pensacola Beach to close through April 2, Escambia County orders",None,37983.0
Alabama,Escambia,43907.0,https://www.brewtonstandard.com/2020/03/17/escambia-county-declares-state-of-emergency-courthouse-closing-until-april-5-2/,Escambia County declares state of emergency; courthouse closing until April 5 - The Brewton Standard,state_of_emergency,37983.0
Alabama,Etowah,43907.0,https://www.gadsdentimes.com/news/20200317/etowah-county-local-cities-declare-state-of-emergency-over-covid-19,"Etowah County, local cities declare state of emergency over COVID-19",state_of_emergency,103931.0
Alabama,Geneva,43913.673610000005,https://www.dothanfirst.com/news/local-news/geneva-county-declares-state-of-emergency-against-covid-19/,Geneva County declares state of emergency against COVID-19,state_of_emergency,26727.0
Alabama,Jackson,,https://www.dothaneagle.com/jcfloridan/news/local/jackson-county-declares-state-of-emergency-acts-on-coronavirus-defense/article_4805b554-686d-11ea-a570-4f42b65e5bda.html,"Jackson County declares state of emergency, acts on coronavirus defense",state_of_emergency,52951.0
Alabama,Jefferson,43913.73194,https://www.al.com/news/2020/03/a-matter-of-life-and-death-jefferson-county-police-to-enforce-alabamas-strictest-coronavirus-orders.html,‘A matter of life and death:’ Jefferson County police to enforce Alabama’s strictest coronavirus orders,deaths,659479.0
Alabama,Jefferson,43913.0,https://www.alreporter.com/2020/03/23/jefferson-county-orders-more-businesses-closed-amid-covid-19-crisis/,Jefferson County orders more businesses closed amid COVID-19 crisis,school_business_closure,659479.0
Alabama,Jefferson,43906.0,https://www.wbrc.com/2020/03/16/jefferson-co-commissioner-county-expected-declare-state-emergency-monday-morning/,Jefferson Co. Commission declares state of emergency for county,state_of_emergency,659479.0
Alabama,Madison,43906.82778,https://whnt.com/news/coronavirus/huntsville-madison-both-declare-state-of-emergency/,"Huntsville, Madison both declare state of emergency",state_of_emergency,346892.0
Alabama,Marshall,,http://www.sandmountainreporter.com/free_share/article_3358c13a-67d9-11ea-947f-0fedaf7f7cca.html,"Marshall County Commission declares state of emergency | Closes courthouses, satellite tag offices to combat COVID-19",state_of_emergency,94760.0
Alabama,Mobile,,https://www.fox10tv.com/news/coronavirus/city-of-mobile-declares-local-public-health-emergency/article_3f50c3d8-6857-11ea-aed2-87bddd070895.html,City of Mobile declares local public health emergency,state_of_emergency,414079.0
Alabama,Morgan,,https://www.waaytv.com/content/news/Morgan-County-Commission-declares-state-of-emergency-to-deal-with-coronavirus--568838501.html,Morgan County Commission declares state of emergency to deal with coronavirus,state_of_emergency,119787.0
Alabama,St. Clair,43907.0,https://www.trussvilletribune.com/2020/03/17/st-clair-county-declares-state-of-local-emergency-in-response-to-coronavirus/,St. Clair County declares State of Local Emergency in response to coronavirus,state_of_emergency,86308.0
Alabama,Shelby,43909.0,https://www.shelbycountyreporter.com/2020/03/19/pelham-declares-state-of-emergency-to-combat-covid-19/,Pelham declares State of Emergency to combat COVID-19 - Shelby County Reporter,state_of_emergency,204180.0
Alabama,Tuscaloosa,43907.0,https://www.wbrc.com/2020/03/17/tuscaloosa-county-commissioners-declare-state-emergency-over-coronavirus/,Tuscaloosa County Commissioners declare state of emergency over coronavirus,state_of_emergency,200821.0
Arizona,Apache,43909.0,https://www.azcentral.com/story/news/local/pinal/2020/03/19/apache-junction-closes-city-facilities-amid-growing-covid-19-concerns/2872002001/,"Apache Junction declares emergency, closes city facilities amid growing coronavirus concerns",state_of_emergency,71934.0
Arizona,Cochise,,https://www.cochise.az.gov/court-administration/cochise-county-superior-court-issues-orders-response-covid-19,Cochise County Superior Court issues orders in response to COVID-19,None,129473.0
Arizona,Mohave,43908.0,https://kdminer.com/news/2020/mar/18/mohave-county-declares-state-emergency/,Mohave County declares state of emergency,state_of_emergency,203030.0
Arizona,Navajo,43911.732639999995,https://ktar.com/story/3036685/navajo-nation-orders-residents-to-shelter-in-place-as-coronavirus-spreads/,Navajo Nation orders residents to shelter in place as coronavirus spreads,shelter_in_place,107322.0
Arizona,Yavapai,43909.0,https://www.verdenews.com/news/2020/mar/19/yavapai-county-declares-countywide-emergency/,Yavapai County declares countywide emergency,state_of_emergency,215133.0
Arizona,Yuma,,https://www.kawc.org/post/yuma-county-declares-emergency-due-covid-19,Yuma County Declares Emergency Due To COVID-19,state_of_emergency,201201.0
Arkansas,Benton,43906.742360000004,https://www.5newsonline.com/article/news/health/coronavirus/benton-county-emergency-proclamation-coronavirus/527-f2afd6b5-8741-4057-bbe6-a026bb4eb822,Benton County judge declares emergency proclamation to help combat coronavirus,state_of_emergency,237297.0
Arkansas,Cleveland,43908.0,http://www.clevelandcountyherald.com/2020/03/18/governer-orders-school-closures/,Governer Orders School Closures – Cleveland County Herald,school_business_closure,8593.0
Arkansas,Izard,43847.0,https://www.kait8.com/2020/01/17/jack-yancey-appointed-izard-county-sheriff/,Jack Yancey appointed Izard County Sheriff,None,13368.0
Arkansas,Lincoln,43906.0,https://www.wbtv.com/2020/03/16/lincoln-co-declares-state-emergency-response-covid-pandemic/,Lincoln Co. declares state of emergency in response to COVID-19 pandemic,state_of_emergency,14031.0
Arkansas,Little River,43719.09444,https://www.arklatexhomepage.com/news/texarkana-news/little-river-county-ark-voters-approve-funding-for-jail/,"Little River County, Ark. voters approve funding for jail",None,12730.0
Arkansas,Madison,43908.73819,https://www.5newsonline.com/article/news/health/coronavirus/judge-declares-disaster-emergency-in-madison-county/527-47419ae4-441a-4fcd-a8e0-013b45c11f54,Judge declares disaster emergency in Madison County,state_of_emergency,15701.0
Arkansas,Randolph,43748.0,https://www.kait8.com/2019/10/10/abc-approves-three-liquor-applicants-randolph-county/,ABC approves three liquor applicants in Randolph County,None,17692.0
Arkansas,Sevier,43747.0,https://www.texarkanagazette.com/news/texarkana/story/2019/oct/09/sevier-county-voters-approve-new-hospital/798833/,Sevier County voters approve new hospital,None,17366.0
California,Alameda,,https://www.ktvu.com/news/coronavirus-5-new-bay-area-cases-alameda-county-declares-health-emergency,Coronavirus: 5 new Bay Area cases; Alameda County declares health emergency,state_of_emergency,1578891.0
California,Butte,,https://www.actionnewsnow.com/content/news/Butte-County-declares-local-emergency-and-local-public-health-emergency-in-response-to-COVID-19-568572541.html,Butte County declares local emergency and local public health emergency in response to COVID-19,state_of_emergency,222090.0
California,Calaveras,43900.963189999995,https://fox40.com/news/local-news/calaveras-county-declares-public-health-emergency-after-two-confirmed-cases-of-covid-19-in-copperopolis/,Calaveras County declares public health emergency after two confirmed cases of COVID-19 in Copperopolis,state_of_emergency,44515.0
California,Contra Costa,43900.68681,https://patch.com/california/concord-ca/coronavirus-contra-costa-county-updates-health-guidelines,Coronavirus In Contra Costa County: Emergency Declared,state_of_emergency,1094205.0
California,Del Norte,43913.0,https://wildrivers.lostcoastoutpost.com/2020/mar/23/video-city-county-will-hold-joint-news-conference/,"(VIDEO) City, County Will Hold Virus Update Today; CC Mayor Urges Del Norters to Continue Social Distancing",social_distance,27873.0
California,El Dorado,,https://www.sacbee.com/news/local/article241156041.html,El Dorado County CA declares coronavirus health emergency,state_of_emergency,181737.0
California,Fresno,,https://www.fresnobee.com/news/local/article241265771.html,Fresno County CA declares emergency. To shutter libraries,state_of_emergency,955272.0
California,Kings,,https://www.fresnobee.com/news/local/article241286881.html,Kings County declares state of emergency over coronavirus,state_of_emergency,150960.0
California,Lake,43901.58056,https://www.record-bee.com/local-health-emergency-declared-for-lake-county-in-response-to-coronavirus-covid-19,Local health emergency declared for Lake County in response to Coronavirus (COVID-19),state_of_emergency,63860.0
California,Madera,43907.29792,https://www.yourcentralvalley.com/life-health/health/coronavirus/madera-county-and-city-of-clovis-declare-public-health-emergencies-2/,Madera County and City of Clovis declare public health emergencies,state_of_emergency,152389.0
California,Mariposa,43904.07917,https://sierranewsonline.com/mariposa-county-declares-local-health-emergency/,Mariposa County Declares Local ‘Health Emergency’,state_of_emergency,17755.0
California,Mendocino,43895.27986,https://mendovoice.com/2020/03/mendocino-county-california-declare-states-of-emergency-in-anticipation-of-covid-19-county-sets-up-info-hotline-still-no-cases-identified-in-county/,"Mendocino County, California, declare states of emergency in anticipation of COVID-19, county sets up info hotline -- still no cases identified in county • The Mendocino Voice",state_of_emergency,87192.0
California,Mendocino,43908.02847,https://www.northbaybusinessjournal.com/northbay/napacounty/10831780-181/napa-sonoma-county-coronavirus-orders,"Sonoma, Mendocino, Lake counties pursue 'shelter in place' orders, while Napa Valley bans gatherings",shelter_in_place,87192.0
California,Merced,,https://www.mercedsunstar.com/news/coronavirus/article241233151.html,"Coronavirus emergency declared by Merced, CA supervisors",state_of_emergency,263228.0
California,Modoc,,https://www.actionnewsnow.com/content/news/Local-Emergency-declared-in-Modoc-County-due-to-the-Coronavirus-568770971.html,Local Emergency declared in Modoc County due to the coronavirus,state_of_emergency,9147.0
California,Mono,43908.257639999996,https://www.sierrawave.net/mono-county-orders-closures-of-bars-and-in-room-dining-in-restaurants/,MONO COUNTY Orders Closures of Bars and In-room Dining in Restaurants & Non-Essential Public Gatherings,school_business_closure,14074.0
California,Monterey,43896.0,https://www.thecalifornian.com/story/news/2020/03/06/gonzales-california-cancels-community-summit-over-coronavirus-covid-19-covid-19-flu-concerns/4980632002/,"Monterey County declares local emergency related to COVID-19, local events canceled",state_of_emergency,428826.0
California,Napa,43907.22917,https://patch.com/california/napavalley/local-emergencies-declared-4-napa-county-cities-coronavirus,Local Emergencies Declared In 4 Napa County Cities: Coronavirus,state_of_emergency,140326.0
California,Napa,43908.0,https://sanfrancisco.cbslocal.com/2020/03/18/coronavirus-update-napa-county-orders-residents-to-shelter-in-place-starting-friday/,Coronavirus Update: Napa County Orders Residents To Shelter In Place Starting Friday,shelter_in_place,140326.0
California,Nevada,,https://yubanet.com/regional/nevada-county-declares-local-health-emergency-to-increase-coronavirus-response-resources/,Nevada County Declares Local Health Emergency to Increase Coronavirus Response Resources,state_of_emergency,98200.0
California,Orange,43887.0,https://www.latimes.com/california/story/2020-02-26/orange-county-declares-emergency-over-coronavirus-a-day-after-san-francisco-issues-decree,Orange County declares emergency over coronavirus,state_of_emergency,3114363.0
California,Placer,43894.26111,https://www.abc10.com/article/news/health/coronavirus/placer-county-declares-local-emergency-second-coronavirus-case/103-1edf2115-b5f7-4a50-af96-a97e98eaa125,"Placer County confirms coronavirus patient dies, declares local emergency | Update",state_of_emergency,367309.0
California,Placer,,https://www.sacbee.com/news/coronavirus/article241352006.html,Coronavirus update: Placer County directs residents ‘stay home’,shelter_in_place,367309.0
California,Placer,,https://goldcountrymedia.com/news/173224/supes-approve-covid-19-declarations-placer-co-to-transition-response/,Supes approve COVID-19 declarations; Placer Co. to transition response,None,367309.0
California,Plumas,43907.95417,https://www.plumasnews.com/local-state-of-health-emergency-declared-in-plumas-county/,Local state of health emergency declared in Plumas County,state_of_emergency,18859.0
California,Riverside,43898.960419999996,https://abc7.com/5995948,Coronavirus: Riverside County declares health emergency after 2 cases diagnosed,state_of_emergency,2292507.0
California,Sacramento,43896.013889999995,https://fox40.com/news/local-news/sacramento-county-declares-local-emergency-due-to-covid-19/,Sacramento County declares local emergency due to COVID-19,state_of_emergency,1462131.0
California,Sacramento,,https://www.sacbee.com/news/coronavirus/article241332696.html,Sacramento County CA orders coronavirus ‘shelter in place’,shelter_in_place,1462131.0
California,San Benito,43897.25417,https://www.ksbw.com/article/san-benito-county-declares-local-state-of-emergency-to-prepare-for-coronavirus/31267781,"San Benito County declares ""local state of emergency"" to prepare for coronavirus",state_of_emergency,57600.0
California,San Bernardino,43907.0,https://losangeles.cbslocal.com/2020/03/17/coronavirus-san-bernardino-county-cancel-gatherings-third-case-confirmed/,"San Bernardino County Orders Cancellation Of All Gatherings, Third Case Of Coronavirus Confirmed",cases,2088371.0
California,San Bernardino,43902.0,https://www.vvdailypress.com/news/20200312/san-bernardino-county-orders-cancellation-of-events-due-to-coronavirus,San Bernardino County orders cancellation of events due to coronavirus,None,2088371.0
California,San Diego,43912.869439999995,https://www.cbs8.com/article/news/health/coronavirus/police-close-parking-lots-at-san-diego-beaches-as-crowds-ignore-coronavirus-stay-at-home-order/509-0ec3ed76-df70-44a6-831d-295c86214ab2,"City of San Diego prohibits all gatherings at beaches, parks as crowds ignore coronavirus stay at home order",shelter_in_place,3211252.0
